macrostate_index	contact_state	energy(kT)	multiplicity
0	[]	0.0	11460
1	[(0, 9)]	-2.1213203435596424	188
2	[(0, 11)]	-3.872983346207417	178
3	[(2, 9)]	-1.7320508075688772	107
4	[(2, 11)]	-3.1622776601683795	103
5	[(4, 9)]	-1.224744871391589	231
6	[(4, 11)]	-2.23606797749979	183
7	[(6, 9)]	-2.449489742783178	1304
8	[(6, 11)]	-4.47213595499958	556
9	[(0, 9), (0, 11)]	-5.99430368976706	37
10	[(0, 9), (2, 9)]	-3.8533711511285196	13
11	[(0, 9), (2, 11)]	-5.283598003728022	1
12	[(0, 9), (4, 9)]	-3.3460652149512313	6
13	[(0, 9), (6, 9)]	-4.570810086342821	14
14	[(0, 9), (6, 11)]	-6.5934562985592216	2
15	[(0, 11), (2, 9)]	-5.605034153776295	8
16	[(0, 11), (2, 11)]	-7.035261006375796	29
17	[(0, 11), (4, 9)]	-5.0977282175990055	8
18	[(0, 11), (4, 11)]	-6.109051323707207	11
19	[(0, 11), (6, 9)]	-6.322473088990595	24
20	[(0, 11), (6, 11)]	-8.345119301206996	15
21	[(2, 9), (2, 11)]	-4.894328467737257	7
22	[(2, 9), (4, 9)]	-2.956795678960466	18
23	[(2, 9), (6, 9)]	-4.1815405503520555	12
24	[(2, 11), (4, 9)]	-4.3870225315599685	10
25	[(2, 11), (4, 11)]	-5.39834563766817	35
26	[(2, 11), (6, 9)]	-5.611767402951557	18
27	[(2, 11), (6, 11)]	-7.63441361516796	14
28	[(4, 9), (4, 11)]	-3.4608128488913787	13
29	[(4, 9), (6, 9)]	-3.674234614174767	64
30	[(4, 11), (6, 9)]	-4.685557720282968	37
31	[(4, 11), (6, 11)]	-6.708203932499369	75
32	[(6, 9), (6, 11)]	-6.9216256977827575	103
33	[(0, 9), (0, 11), (2, 9)]	-7.726354497335937	7
34	[(0, 9), (0, 11), (2, 11)]	-9.15658134993544	1
35	[(0, 9), (0, 11), (4, 9)]	-7.219048561158649	3
36	[(0, 9), (0, 11), (6, 9)]	-8.443793432550237	6
37	[(0, 9), (4, 11), (6, 11)]	-8.829524276059011	1
38	[(0, 11), (2, 9), (2, 11)]	-8.767311813944675	4
39	[(0, 11), (2, 9), (4, 9)]	-6.829779025167884	2
40	[(0, 11), (2, 9), (6, 9)]	-8.054523896559473	2
41	[(0, 11), (2, 11), (4, 9)]	-8.260005877767385	2
42	[(0, 11), (2, 11), (4, 11)]	-9.271328983875586	3
43	[(0, 11), (2, 11), (6, 9)]	-9.484750749158973	5
44	[(0, 11), (2, 11), (6, 11)]	-11.507396961375376	2
45	[(0, 11), (4, 9), (4, 11)]	-7.333796195098795	1
46	[(0, 11), (4, 9), (6, 9)]	-7.547217960382183	4
47	[(0, 11), (4, 11), (6, 9)]	-8.558541066490385	2
48	[(0, 11), (4, 11), (6, 11)]	-10.581187278706786	2
49	[(0, 11), (6, 9), (6, 11)]	-10.794609043990175	4
50	[(2, 9), (2, 11), (4, 9)]	-6.119073339128846	4
51	[(2, 9), (2, 11), (6, 9)]	-7.343818210520435	2
52	[(2, 11), (4, 9), (4, 11)]	-6.623090509059758	5
53	[(2, 11), (4, 9), (6, 9)]	-6.836512274343146	5
54	[(2, 11), (4, 11), (6, 9)]	-7.847835380451348	5
55	[(2, 11), (4, 11), (6, 11)]	-9.87048159266775	4
56	[(2, 11), (6, 9), (6, 11)]	-10.083903357951137	2
57	[(4, 9), (4, 11), (6, 9)]	-5.910302591674556	14
58	[(4, 11), (6, 9), (6, 11)]	-9.157693675282548	38
59	[(0, 9), (0, 11), (2, 11), (4, 11)]	-11.39264932743523	1
60	[(0, 9), (2, 11), (4, 11), (6, 11)]	-11.991801936227391	1
61	[(0, 11), (2, 9), (2, 11), (4, 9)]	-9.992056685336264	2
62	[(0, 11), (2, 9), (2, 11), (6, 9)]	-11.216801556727852	1
63	[(0, 11), (2, 11), (4, 9), (4, 11)]	-10.496073855267175	1
64	[(0, 11), (2, 11), (4, 9), (6, 9)]	-10.709495620550562	1
65	[(0, 11), (2, 11), (4, 11), (6, 9)]	-11.720818726658763	1
66	[(0, 11), (2, 11), (6, 9), (6, 11)]	-13.956886704158553	1
67	[(0, 11), (4, 9), (4, 11), (6, 9)]	-9.783285937881974	1
68	[(0, 11), (4, 11), (6, 9), (6, 11)]	-13.030677021489964	2
69	[(2, 11), (4, 9), (4, 11), (6, 9)]	-9.072580251842936	5
70	[(2, 11), (4, 11), (6, 9), (6, 11)]	-12.319971335450926	5
71	[(0, 11), (2, 11), (4, 9), (4, 11), (6, 9)]	-12.945563598050352	1
