#ncounts	stability	slowest	next-slowest
1503700	  -0.000	             nan	4503599627370496.00000000
3007400	   0.000	75690750039839.76562500	51177268492846.04687500
4511100	   0.000	81883629588553.96875000	55258891133379.82031250
6014800	  -0.000	24609834029346.47265625	13053911963392.24218750
7518500	   0.000	-4503599627370497.00000000	333599972397814.06250000
9022200	   0.000	46912496118442.16406250	1147370.98434979
10525900	   0.000	13921482619382.79687500	1638207.55168912
12029600	  -0.000	118515779667644.12500000	1505888.39883933
13533300	  -0.000	23274416678916.79296875	 427264.33682568
15037000	   0.000	 479904.55810656	   9362.44308456
16540700	  -0.000	 546635.94223869	   9260.66556970
18044400	   0.000	 517622.05642813	   9827.45308707
19548100	   0.000	 485253.40059289	  11284.01586682
21051800	   0.338	  12469.38120935	   6994.94921881
22555500	   0.317	   6586.65954551	   3134.12354903
24059200	   0.332	   6626.80011670	   3313.65721060
25562900	   0.350	   6831.75871934	   3518.11276450
27066600	   0.349	   6762.68453717	   3788.96476049
28570300	   0.307	   6350.63111534	   3945.85371789
30074000	   0.316	   6546.37484282	   4211.20028288
31577700	   0.322	   6476.40330714	   4449.99362522
33081400	   0.310	   6350.60079205	   4626.33589462
34585100	   0.314	   6563.77075671	   4815.40413699
36088800	   0.321	   6519.12075482	   4953.35263074
37592500	   0.314	   6536.26303198	   5046.15221124
39096200	   0.315	   6620.04405948	   5161.91873389
40599900	   0.329	   6841.78062900	   5316.13948069
42103600	   0.344	   7046.28979252	   5455.40455609
43607300	   0.338	   6343.72013602	   3186.26613724
45111000	   0.345	   6302.03644197	   2527.03695256
46614700	   0.342	   6337.90180605	   2572.49740018
48118400	   0.343	   6323.07911597	   2542.81852330
49622100	   0.334	   6370.14350027	   2614.24758630
51125800	   0.331	   6235.81097175	   2580.44988094
52629500	   0.341	   6290.64966098	   2648.68471038
54133200	   0.347	   6319.00037952	   2681.66550589
55636900	   0.349	   6245.67010452	   2787.23020706
57140600	   0.347	   6289.41304612	   2855.61568328
58644300	   0.359	   6357.74547662	   2951.60578391
60148000	   0.356	   6417.99688510	   3035.58362476
61651700	   0.365	   6492.95203379	   3106.99150830
63155400	   0.372	   6510.39548721	   3160.33595259
64659100	   0.366	   6444.14721539	   3241.88172957
66162800	   0.374	   6484.45267410	   3326.58784989
67666500	   0.351	   6091.14161771	   3382.52973980
69170200	   0.344	   6040.76417306	   3450.70237839
70673900	   0.348	   6034.61868440	   3510.34865439
72177600	   0.345	   5990.84753947	   2503.00639072
73681300	   0.339	   5959.78052487	   2540.86401702
75185000	   0.338	   5968.48745909	   2584.80658859
76688700	   0.334	   5974.33841298	   2664.81223886
78192400	   0.338	   6031.75938309	   2713.69433861
79696100	   0.316	   5733.32492534	   2512.98619906
81199800	   0.320	   5781.65787749	   2518.92315647
82703500	   0.321	   5746.64792475	   2538.04499559
84207200	   0.318	   5739.25433061	   2570.70404392
85710900	   0.323	   5739.60118282	   2488.46083797
87214600	   0.322	   5775.84242691	   2522.13197733
88718300	   0.322	   5763.59142188	   2543.26006145
90222000	   0.326	   5819.43462060	   2563.18981872
91725700	   0.330	   5886.29912147	   2595.50320190
93229400	   0.324	   5889.25948111	   2630.03822102
94733100	   0.307	   5653.06980830	   2646.18815645
96236800	   0.309	   5645.71126272	   2695.02596067
97740500	   0.302	   5640.78353145	   2754.15192884
99244200	   0.304	   5648.69920151	   2787.30545188
100747900	   0.302	   5644.47258892	   2837.70479758
102251600	   0.305	   5645.34283349	   2877.68873373
103755300	   0.305	   5671.76193707	   2907.52479606
105259000	   0.306	   5640.17734009	   2932.94984154
106762700	   0.311	   5681.06696911	   2966.98896185
108266400	   0.307	   5620.52630215	   2995.07516104
109770100	   0.312	   5620.66009077	   3045.41193990
111273800	   0.314	   5686.82853289	   3077.78719396
112777500	   0.321	   5731.01625760	   3124.99363553
114281200	   0.322	   5774.70786708	   3158.90852568
115784900	   0.322	   5810.30908737	   3201.86515906
117288600	   0.321	   5814.09813086	   3232.68595545
118792300	   0.323	   5856.20316805	   3281.75585944
120296000	   0.322	   5867.20004985	   3303.76368937
121799700	   0.325	   5917.24701446	   3340.30811404
123303400	   0.331	   5952.86428619	   3406.21252574
124807100	   0.321	   5770.90867746	   3436.48117383
126310800	   0.324	   5775.17105034	   3479.04807751
127814500	   0.327	   5799.44886909	   3513.92945227
129318200	   0.330	   5871.12149037	   3563.26851324
130821900	   0.329	   5907.31799058	   3574.52268317
132325600	   0.329	   5888.54842265	   3616.72883478
133829300	   0.328	   5910.91724287	   3639.32844762
135333000	   0.330	   5923.15276756	   3679.07593561
136836700	   0.333	   5969.94001337	   3726.88823070
138340400	   0.335	   5998.82861019	   3766.91604394
139844100	   0.337	   6029.80351250	   3802.47089260
141347800	   0.336	   6082.82457618	   3826.13232345
142851500	   0.335	   6102.39580674	   3865.05757841
144355200	   0.334	   6091.19000538	   3899.69810270
145858900	   0.327	   5988.48924513	   3929.00489767
147362600	   0.317	   5881.64241379	   3954.51684009
148866300	   0.319	   5921.29461931	   3990.96589714
150370000	   0.322	   5919.21638161	   4016.44361075
151873700	   0.322	   5964.99609891	   4058.24085837
153377400	   0.318	   5948.09855224	   4082.19063514
154881100	   0.319	   5956.73240449	   4106.30051650
156384800	   0.321	   5983.71603245	   4137.58445282
157888500	   0.320	   6008.86647955	   4163.33677787
159392200	   0.320	   6037.87106728	   4199.26838090
160895900	   0.321	   6074.30065698	   4230.45525973
162399600	   0.323	   6099.72457991	   4254.90069184
163903300	   0.324	   6131.53140902	   4283.85965330
165407000	   0.325	   5967.58261462	   3761.05801691
166910700	   0.323	   5961.75534534	   3784.39388125
168414400	   0.324	   5981.06132574	   3819.27591385
169918100	   0.324	   6000.96780204	   3852.72268341
171421800	   0.325	   5999.83960716	   3879.76059019
172925500	   0.327	   6032.08546701	   3907.13256373
